Ethnicity,Gender,Age,Admitted,Admit_Type,Application_Term,HS_GPA,Old_SAT,New_SAT,ACT,Enrolled,Scholarship_App,FinAid_Applicant,High_School_Percentile,FirstGen_Ind
Hispanic,Female,18.0,Yes,FR,Fall 2021,3.393,,930.0,,Yes,N,Y,44.0,No
Black,Female,19.0,Yes,FR,Fall 2021,3.17,,950.0,,Yes,N,Y,85.0,No
Asian,Female,19.0,Yes,FR,Fall 2021,4.0,,1260.0,,Yes,N,Y,99.0,Yes
Black,Female,18.0,Yes,FR,Fall 2021,3.104,,760.0,,No,N,Y,76.0,No
White,Female,19.0,Yes,FR,Fall 2021,3.838,,1090.0,,No,N,Y,91.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.378,,1090.0,,No,N,N,72.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2021,3.293,,800.0,,Yes,N,Y,64.0,Yes
Black,Female,18.0,Yes,FR,Fall 2021,3.623,,,22.0,Yes,N,Y,89.0,Yes
Black,Male,19.0,No,FR,Fall 2021,2.4565,,780.0,,No,N,N,23.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.638,,980.0,,Yes,N,Y,78.0,Yes
Black,Female,18.0,Yes,FR,Fall 2021,3.62,,980.0,,No,N,Y,80.0,No
White,Female,18.0,Yes,FR,Fall 2021,3.564,,1170.0,,Yes,N,Y,93.0,No
Hispanic,Female,20.0,Yes,FR,Fall 2021,3.259,,,15.0,No,N,Y,65.0,No
White,Female,20.0,Yes,FR,Fall 2021,3.458,,,24.0,Yes,N,Y,,No
White,Female,19.0,Yes,FR,Fall 2021,3.917,,880.0,20.0,No,N,Y,85.0,No
White,Female,18.0,Yes,FR,Fall 2021,3.878,,990.0,,Yes,N,N,91.0,No
White,Female,19.0,Yes,FR,Fall 2021,3.778,,830.0,,Yes,N,Y,80.0,No
Black,Male,19.0,Yes,FR,Fall 2021,3.018,,780.0,,Yes,N,Y,73.0,Yes
White,Male,18.0,Yes,FR,Fall 2021,3.904,,970.0,,Yes,N,Y,72.0,Yes
White,Female,18.0,Yes,FR,Fall 2021,3.949,,,33.0,No,N,Y,98.0,No
Asian,Female,20.0,Yes,FR,Fall 2021,3.875,,930.0,,Yes,N,Y,77.0,No
White,Male,19.0,Yes,FR,Fall 2021,3.407,,1030.0,,Yes,N,Y,39.0,Yes
Black,Male,18.0,Yes,FR,Fall 2021,2.94,,900.0,,Yes,N,Y,56.0,Yes
Black,Male,19.0,Yes,FR,Fall 2021,2.8261,,770.0,,No,N,Y,50.0,No
Black,Female,19.0,Yes,FR,Fall 2021,3.4,,,16.0,Yes,N,Y,,Yes
Black,Female,18.0,No,FR,Fall 2021,2.4419,,790.0,,No,N,N,9.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2021,3.5,,1080.0,,No,N,Y,81.0,No
White,Female,19.0,Yes,FR,Fall 2021,3.6363,,790.0,,Yes,N,Y,,No
Black,Female,19.0,Yes,FR,Fall 2021,3.1,,780.0,,No,N,Y,49.0,No
White,Male,19.0,Yes,FR,Fall 2021,3.7719,,1040.0,,Yes,N,N,67.0,No
Black,Female,18.0,Yes,FR,Fall 2021,3.65,,1040.0,23.0,No,N,Y,98.0,No
Unknown,Female,18.0,Yes,FR,Fall 2021,3.52,,910.0,,No,N,Y,88.0,No
Black,Female,19.0,No,FR,Fall 2021,2.18,,750.0,,No,N,Y,16.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2021,3.188,,,13.0,No,N,Y,53.0,No
Black,Male,18.0,No,FR,Fall 2021,3.23,,,15.0,No,N,N,88.0,No
Black,Male,18.0,No,FR,Fall 2021,2.18,,,12.0,No,N,N,20.0,No
Black,Female,19.0,Yes,FR,Fall 2021,2.969,,,16.0,Yes,N,Y,,Yes
Black,Female,19.0,No,FR,Fall 2021,2.62,,680.0,8.0,No,N,Y,40.0,No
Hispanic,Male,18.0,Yes,FR,Fall 2021,2.857,,980.0,,Yes,N,Y,,No
Unknown,Female,19.0,No,FR,Fall 2021,2.69,,650.0,10.0,No,N,Y,41.0,No
Hispanic,Male,18.0,Yes,FR,Fall 2021,3.766,,1040.0,,Yes,N,Y,70.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2021,3.458,,860.0,,No,N,Y,76.0,No
White,Male,18.0,Yes,FR,Fall 2021,3.38182,,820.0,,Yes,N,Y,52.0,No
White,Female,19.0,Yes,FR,Fall 2021,3.953,,930.0,,Yes,N,Y,91.0,No
Unknown,Female,18.0,No,FR,Fall 2021,,,890.0,,No,N,Y,,No
Black,Female,18.0,No,FR,Fall 2021,,,800.0,,No,N,N,,No
Black,Female,19.0,Yes,FR,Fall 2021,3.02,,860.0,,No,N,Y,67.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.857,,1130.0,23.0,No,N,Y,93.0,No
White,Female,18.0,Yes,FR,Fall 2021,3.807,,1090.0,,No,N,N,68.0,No
White,Female,19.0,Yes,FR,Fall 2021,3.071,,1040.0,,No,N,N,32.0,No
White,Female,20.0,Yes,FR,Fall 2021,3.053,,,,No,N,N,23.0,No
White,Male,19.0,Yes,FR,Fall 2021,3.97917,,1260.0,,Yes,N,Y,93.0,Yes
White,Female,18.0,Yes,FR,Fall 2021,3.7543,,890.0,,No,N,N,,No
Black,Female,18.0,Yes,FR,Fall 2021,3.039,,1040.0,,No,N,Y,35.0,No
Black,Female,18.0,No,FR,Fall 2021,3.667,,1080.0,,No,N,Y,75.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.604,,930.0,,Yes,N,Y,66.0,Yes
White,Male,18.0,No,FR,Fall 2021,,,1300.0,,No,N,N,,No
Unknown,Male,19.0,Yes,FR,Fall 2021,2.837,,970.0,13.0,Yes,N,Y,25.0,No
White,Female,20.0,Yes,FR,Fall 2021,3.345,,960.0,,Yes,N,Y,54.0,Yes
Black,Female,19.0,Yes,FR,Fall 2021,3.875,,1120.0,,No,N,Y,98.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.31,,710.0,,No,N,Y,93.0,No
Black,Male,20.0,No,FR,Fall 2021,3.4384,,,,No,N,N,27.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2021,3.75,,840.0,,Yes,N,Y,,Yes
Hispanic,Male,18.0,Yes,FR,Fall 2021,3.5,,1090.0,,No,N,Y,80.0,No
Hispanic,Male,18.0,Yes,FR,Fall 2021,3.318,,960.0,,No,N,Y,70.0,No
Hispanic,Male,19.0,Yes,FR,Fall 2021,3.094,,870.0,,Yes,N,Y,33.0,Yes
Black,Female,18.0,Yes,FR,Fall 2021,3.643,,900.0,,No,N,Y,73.0,No
Black,Male,19.0,Yes,FR,Fall 2021,3.19,,660.0,,No,N,Y,72.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.683,,840.0,,Yes,N,Y,65.0,Yes
Asian,Female,17.0,Yes,FR,Fall 2021,4.0,,1390.0,27.0,Yes,N,Y,100.0,Yes
Hispanic,Female,18.0,Yes,FR,Fall 2021,3.16,,870.0,,No,N,Y,50.0,No
Hispanic,Male,18.0,Yes,FR,Fall 2021,3.6739,,960.0,,No,N,Y,92.0,No
Multi-race,Male,18.0,No,FR,Fall 2021,3.228,,990.0,,No,N,N,83.0,No
Black,Male,18.0,Yes,FR,Fall 2021,3.163,,950.0,17.0,No,N,Y,65.0,No
Unknown,Female,19.0,No,FR,Fall 2021,,,1000.0,,No,N,N,,No
Black,Female,19.0,Yes,FR,Fall 2021,3.371,,1020.0,,No,N,Y,62.0,No
White,Male,19.0,Yes,FR,Fall 2021,2.57,,970.0,,Yes,N,Y,11.0,No
Asian,Female,18.0,No,FR,Fall 2021,3.537,,930.0,17.0,No,N,N,56.0,No
White,Female,18.0,Yes,FR,Fall 2021,4.0,,1220.0,,Yes,N,Y,97.0,Yes
Black,Female,19.0,Yes,FR,Fall 2021,3.283,,790.0,,No,N,Y,57.0,No
Black,Male,19.0,Yes,FR,Fall 2021,3.283,,850.0,14.0,No,N,Y,58.0,No
White,Female,21.0,Yes,FR,Fall 2021,3.563,,830.0,,No,N,Y,60.0,No
Black,Female,19.0,Yes,FR,Fall 2021,3.702,,840.0,,No,N,Y,82.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,4.0,,1050.0,,Yes,N,Y,95.0,Yes
Hispanic,Female,18.0,Yes,FR,Fall 2021,3.56,,940.0,,No,N,Y,88.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.452,,790.0,,Yes,N,Y,48.0,Yes
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.1404,,900.0,,No,N,Y,74.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.7234,,1090.0,,No,N,Y,74.0,No
Black,Male,19.0,Yes,FR,Fall 2021,2.822,,900.0,,No,N,Y,75.0,No
White,Female,19.0,Yes,FR,Fall 2021,2.949,,870.0,,Yes,N,Y,39.0,Yes
White,Female,19.0,Yes,FR,Fall 2021,3.91,,940.0,,Yes,N,Y,,No
White,Female,18.0,Yes,FR,Fall 2021,3.813,,1030.0,,No,N,N,76.0,No
Black,Female,18.0,Yes,FR,Fall 2021,3.059,,820.0,,No,N,Y,37.0,No
Hispanic,Female,18.0,No,FR,Fall 2021,,,890.0,,No,N,N,,No
Hispanic,Male,18.0,Yes,FR,Fall 2021,3.468,,810.0,15.0,No,N,Y,56.0,No
Black,Female,19.0,Yes,FR,Fall 2021,3.58,,,,No,N,N,74.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.78,,,23.0,No,N,Y,82.0,No
Unknown,Female,19.0,Yes,FR,Fall 2021,3.69,,1040.0,18.0,No,N,Y,65.0,No
Hispanic,Male,19.0,Yes,FR,Fall 2021,3.182,,1020.0,16.0,Yes,N,Y,85.0,Yes
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.6,,,16.0,No,N,Y,77.0,No
Hispanic,Male,19.0,Yes,FR,Fall 2021,3.06,,950.0,,Yes,N,Y,83.0,Yes
